time_after_contact,type,percent_reduc,date,nb_ctl,well
5,APC,96.1393499446202,220616,7.0,0
5,APC,106.0652990219997,220616,12.0,1
5,APC,93.61292393281266,220616,7.0,2
5,APC,96.99107783817044,220616,12.0,3
5,APC,99.5042005233439,220616,2.0,4
5,APC,90.86909239656394,220616,7.0,5
5,APC,103.29240936829156,220616,2.0,6
5,APC,102.4251661118464,220616,12.0,7
5,APC,101.2017041429699,220616,2.0,8
5,APC,106.83766407714974,220616,2.0,9
5,APC,94.22820114275709,220616,27.0,10
5,APC,99.77049105824074,220616,7.0,11
5,APC,103.97808135773812,220616,22.0,12
5,APC,102.1863362564569,220616,7.0,13
5,APC,92.21422517402844,220616,17.0,14
5,APC,100.56404935559014,220616,17.0,15
5,APC,108.85225025215672,220616,2.0,16
5,APC,102.88061893471811,220616,7.0,17
5,APC,64.25278054839377,220616,7.0,18
5,APC,88.50549485004781,220616,27.0,19
10,APC,87.40846394734535,220616,22.0,0
10,APC,21.00897384220464,220616,12.0,1
10,APC,96.09986675355243,220616,12.0,2
10,APC,87.64188288380679,220616,22.0,3
10,APC,95.2767587735223,220616,7.0,4
10,APC,72.06054015224831,220616,22.0,5
10,APC,69.63988518777587,220616,17.0,6
10,APC,84.03855666519605,220616,7.0,7
10,APC,99.01080774757637,220616,27.0,8
10,APC,100.43195821055453,220616,17.0,9
10,APC,31.900873486722563,220616,17.0,10
10,APC,26.045856341036654,220616,27.0,11
10,APC,65.69428060428478,220616,17.0,12
10,APC,93.2942630124762,220616,2.0,13
10,APC,71.1578274582818,220616,22.0,14
10,APC,97.74787146388356,220616,7.0,15
10,APC,108.63249356225596,220616,12.0,16
10,APC,44.26131945977596,220616,27.0,17
10,APC,2.617761635018913,220616,12.0,18
10,APC,32.915797889852165,220616,22.0,19
5,WT,85.92506495282373,220616,12.0,0
5,WT,90.78426999064916,220616,12.0,1
5,WT,101.21464448730926,220616,12.0,2
5,WT,92.31293547409877,220616,22.0,3
5,WT,98.47558882098468,220616,2.0,4
5,WT,98.47993244144185,220616,7.0,5
5,WT,89.8451314147689,220616,17.0,6
5,WT,99.20908301170816,220616,17.0,7
5,WT,87.80796757236051,220616,7.0,8
5,WT,74.59227693602693,220616,2.0,9
5,WT,80.70881153010257,220616,32.0,10
5,WT,89.03682861880118,220616,7.0,11
10,WT,1.6901408450704225,220616,27.0,0
10,WT,68.87026345363611,220616,22.0,1
10,WT,85.26256819643119,220616,17.0,2
10,WT,67.90945702728229,220616,32.0,3
10,WT,76.98848680445879,220616,17.0,4
10,WT,94.67976354504644,220616,2.0,5
10,WT,55.30229733967665,220616,22.0,6
10,WT,89.13548019033871,220616,17.0,7
10,WT,32.4941414909114,220616,12.0,8
10,WT,13.937114197530864,220616,27.0,9
10,WT,38.10004956723986,220616,17.0,10
10,WT,37.840191595906816,220616,7.0,11
5,APC,82.1105334103601,220621,9.0,0
5,APC,99.08859192716392,220621,6.0,1
5,APC,102.61850754708496,220621,7.0,2
5,APC,58.68775646001996,220621,19.0,3
5,APC,104.32547629501912,220621,11.0,4
5,APC,77.11144062486947,220621,9.0,5
5,APC,93.20734808127736,220621,8.0,6
5,APC,97.78427350979474,220621,7.0,7
5,APC,92.07991787422168,220621,9.0,8
5,APC,94.82428205722722,220621,6.0,9
5,APC,106.29468760441029,220621,0.0,10
5,APC,77.25105238336448,220621,8.0,11
5,APC,33.02310595599742,220621,7.0,12
5,APC,71.20299490682851,220621,11.0,13
5,APC,72.59773849874414,220621,12.0,14
5,APC,95.31007557935833,220621,4.0,15
5,APC,94.14335430926292,220621,4.0,16
5,APC,84.55987035099596,220621,8.0,17
5,APC,75.11019596483125,220621,7.0,18
5,APC,95.53892294105816,220621,2.0,19
5,APC,81.47211635854872,220621,5.0,20
5,APC,96.16361227644072,220621,2.0,21
5,APC,96.47129549453156,220621,13.0,22
5,APC,84.46878633435033,220621,6.0,23
5,APC,57.07598049790741,220621,7.0,24
5,APC,88.97989703078802,220621,4.0,25
5,APC,81.75438140477877,220621,5.0,26
10,APC,38.993558326034425,220621,17.0,0
10,APC,80.1209681278332,220621,12.0,1
10,APC,75.83519145627574,220621,5.0,2
10,APC,7.133054230897194,220621,26.0,3
10,APC,58.4940617068443,220621,14.0,4
10,APC,41.99594837308384,220621,11.0,5
10,APC,31.4352499798492,220621,15.0,6
