type,percent_dead,viab,nb_CTL,time,legend,date
WT,74.61241169703565,25.387588302964343,9,48,CTRL,220503
WT,31.09124493349337,68.90875506650663,1,48,CTRL,220503
WT,49.99078653236257,50.00921346763743,6,48,CTRL,220503
WT,41.3623309793332,58.6376690206668,2,48,CTRL,220503
WT,28.6452066454327,71.3547933545673,2,48,CTRL,220503
WT,47.73570121419488,52.26429878580512,4,48,CTRL,220503
WT,25.74291051112243,74.25708948887757,1,48,CTRL,220503
WT,8.736394414895601,91.2636055851044,1,48,CTRL,220503
WT,32.055000491877934,67.94499950812207,3,48,CTRL,220503
WT,63.17982327035085,36.82017672964915,3,48,CTRL,220503
WT,40.16280719727518,59.83719280272482,8,48,CTRL,220503
WT,67.3056212957032,32.694378704296795,5,48,CTRL,220503
WT,43.27617745138711,56.72382254861289,2,48,CTRL,220503
WT,65.56826202418199,34.43173797581801,7,48,CTRL,220503
WT,17.279574020154616,82.72042597984539,3,48,CTRL,220503
WT,9.473259703017076,90.52674029698292,1,48,CTRL,220503
WT,5.136647462010411,94.86335253798958,1,48,CTRL,220503
APC,4.376540167570232,95.62345983242976,5,48,APC$^{Min\\+}$,220615
APC,40.30976817269202,59.69023182730798,23,48,APC$^{Min\\+}$,220615
APC,42.49310719358343,57.50689280641657,14,48,APC$^{Min\\+}$,220615
APC,20.17386329323141,79.8261367067686,16,48,APC$^{Min\\+}$,220615
APC,25.84272837727105,74.15727162272896,13,48,APC$^{Min\\+}$,220615
APC,12.791078505223858,87.20892149477615,25,48,APC$^{Min\\+}$,220615
APC,9.678783696547423,90.32121630345256,6,48,APC$^{Min\\+}$,220615
APC,28.67473862556304,71.32526137443696,18,48,APC$^{Min\\+}$,220615
control,0.0,100.0,0,48,no CTL,220615
APC,6.939460063840147,93.06053993615986,9,48,APC$^{Min\\+}$,220615
APC,25.28521621670956,74.71478378329044,11,48,APC$^{Min\\+}$,220615
APC,1.0726804341399552,98.92731956586005,9,48,APC$^{Min\\+}$,220615
APC,33.17479191438763,66.82520808561236,21,48,APC$^{Min\\+}$,220615
APC,54.41631883667699,45.58368116332301,27,48,APC$^{Min\\+}$,220615
APC,2.834245225068213,97.16575477493178,2,48,APC$^{Min\\+}$,220615
APC,26.92608627614626,73.07391372385374,9,48,APC$^{Min\\+}$,220615
APC,53.18039624608968,46.81960375391032,6,48,APC$^{Min\\+}$,220615
APC,16.25687661389918,83.74312338610082,6,48,APC$^{Min\\+}$,220615
APC,21.593215751725385,78.40678424827462,11,48,APC$^{Min\\+}$,220615
WT,8.434295562257647,91.56570443774235,6,48,CTRL,220615
WT,1.6326330797897404,98.36736692021026,4,48,CTRL,220615
WT,63.393511,36.606489,12,48,CTRL,220615
WT,92.578493,7.421507000000005,8,48,CTRL,220615
APC,11.457170783105388,88.54282921689462,22,48,APC$^{Min\\+}$,220615
WT,96.942612,3.057388000000003,23,48,CTRL,220615
WT,100.0,0.0,13,48,CTRL,220615
WT,100.0,0.0,1,48,CTRL,220615
APC,19.673873014531427,80.32612698546858,20,48,APC$^{Min\\+}$,220615
WT,11.897755186419245,88.10224481358075,9,48,CTRL,220615
WT,91.740795,8.259204999999994,22,48,CTRL,220615
APC,27.4919465948088,72.50805340519119,4,48,APC$^{Min\\+}$,220719
APC,28.805162661876675,71.19483733812332,4,48,APC$^{Min\\+}$,220719
APC,19.41757100012148,80.58242899987852,1,48,APC$^{Min\\+}$,220719
APC,10.11813030090088,89.88186969909913,2,48,APC$^{Min\\+}$,220719
APC,12.458291593037533,87.54170840696247,1,48,APC$^{Min\\+}$,220719
APC,43.76461183944661,56.23538816055339,6,48,APC$^{Min\\+}$,220719
APC,42.05993179125367,57.94006820874633,4,48,APC$^{Min\\+}$,220719
APC,25.618138345437064,74.38186165456294,4,48,APC$^{Min\\+}$,220719
APC,59.15466091348102,40.84533908651898,8,48,APC$^{Min\\+}$,220719
APC,9.432237583517283,90.56776241648272,2,48,APC$^{Min\\+}$,220719
APC,6.720390455012773,93.27960954498722,3,48,APC$^{Min\\+}$,220719
APC,60.874487329481816,39.12551267051818,15,48,APC$^{Min\\+}$,220719
APC,49.4480142754171,50.5519857245829,21,48,APC$^{Min\\+}$,220719
APC,17.244411204475224,82.75558879552477,5,48,APC$^{Min\\+}$,220719
APC,4.436104318470021,95.56389568152998,1,48,APC$^{Min\\+}$,220719
