type,date,well,particle,P_inv,pos,arrest_percent,max_obs_n
apc,220719.0,1.0,0.0,-0.593130006461111,0.1891891891891892,18.91891891891892,2
apc,220719.0,1.0,1.0,-0.33556522187613186,0.28846153846153844,28.846153846153843,2
apc,220719.0,1.0,2.0,0.9101863730035619,1.0,100.0,2
apc,220719.0,1.0,3.0,0.5254591823648431,0.8787878787878788,87.87878787878788,2
apc,220719.0,10.0,4.0,0.7531658778972313,0.875,87.5,4
apc,220719.0,10.0,5.0,0.4897277750130113,0.8979591836734694,89.79591836734694,4
apc,220719.0,10.0,6.0,1.6323826763954963,1.0,100.0,4
apc,220719.0,10.0,7.0,-1.0328285882937338,0.0,0.0,4
apc,220719.0,11.0,8.0,0.4478768273990435,0.7169811320754716,71.69811320754717,5
apc,220719.0,11.0,9.0,-0.29536410988527867,0.22580645161290322,22.58064516129032,5
apc,220719.0,11.0,11.0,0.6699255235885699,0.7384615384615385,73.84615384615385,5
apc,220719.0,11.0,12.0,-0.8269145189533639,0.0,0.0,5
apc,220719.0,11.0,14.0,0.8395778309744119,0.868421052631579,86.8421052631579,5
apc,220719.0,11.0,15.0,1.1350838835898376,1.0,100.0,5
apc,220719.0,11.0,16.0,0.3168306971127379,0.6666666666666666,66.66666666666666,5
apc,220719.0,11.0,17.0,-1.236098467164733,0.0,0.0,5
apc,220719.0,16.0,18.0,1.3748681385279071,1.0,100.0,5
apc,220719.0,16.0,19.0,0.9529333369416075,0.9276595744680851,92.76595744680851,5
apc,220719.0,16.0,20.0,1.304479570866573,1.0,100.0,5
apc,220719.0,16.0,21.0,0.9962892196766137,1.0,100.0,5
apc,220719.0,16.0,22.0,-0.9813880812280932,0.21649484536082475,21.649484536082475,5
apc,220719.0,16.0,23.0,1.5116401751322721,1.0,100.0,5
apc,220719.0,16.0,25.0,0.6465166821054391,1.0,100.0,5
apc,220719.0,18.0,26.0,1.180108571178886,0.9868995633187773,98.68995633187772,4
apc,220719.0,18.0,27.0,-0.8557699190397434,0.22981366459627328,22.981366459627328,4
apc,220719.0,18.0,29.0,-0.3237378190997748,0.6686390532544378,66.86390532544378,4
apc,220719.0,18.0,30.0,-1.4834305038794593,0.06299212598425197,6.299212598425196,4
apc,220719.0,18.0,31.0,1.5611359242634697,1.0,100.0,4
apc,220719.0,27.0,32.0,1.8245944474631741,1.0,100.0,5
apc,220719.0,27.0,33.0,0.7337091074365213,0.9361702127659575,93.61702127659575,5
apc,220719.0,27.0,34.0,0.8042971473966724,0.8918918918918919,89.1891891891892,5
apc,220719.0,27.0,35.0,-0.32953815053161806,0.2,20.0,5
apc,220719.0,27.0,36.0,0.7246841488837182,0.7941176470588235,79.41176470588235,5
apc,220719.0,27.0,37.0,-2.2240737304779716,0.0,0.0,5
apc,220901.0,3.0,38.0,1.2452110314933285,1.0,100.0,4
apc,220901.0,3.0,39.0,1.120580122274971,1.0,100.0,4
apc,220901.0,3.0,40.0,1.3855594505079463,1.0,100.0,4
apc,220901.0,3.0,41.0,1.1030047368744218,1.0,100.0,4
apc,220901.0,4.0,42.0,0.005198861330638469,0.5555555555555556,55.55555555555556,2
apc,220901.0,4.0,43.0,0.5076077392412928,0.6818181818181818,68.18181818181817,2
apc,220901.0,4.0,48.0,-0.14662649370475975,0.4864864864864865,48.64864864864865,2
apc,220901.0,5.0,49.0,0.19835137868183084,0.7205882352941176,72.05882352941177,2
apc,220901.0,5.0,50.0,-0.7877474062589219,0.22857142857142856,22.857142857142858,2
apc,220901.0,9.0,52.0,-0.5019041824226843,0.3888888888888889,38.88888888888889,4
apc,220901.0,9.0,53.0,0.6903559625332383,0.8201438848920863,82.01438848920863,4
apc,220901.0,9.0,55.0,0.9102660880641783,0.797752808988764,79.7752808988764,4
apc,220901.0,9.0,56.0,0.1176734491015037,0.6783216783216783,67.83216783216784,4
apc,220901.0,14.0,57.0,-4.98229946036277,0.0,0.0,5
apc,220901.0,14.0,58.0,-1.4509457076042713,0.2925531914893617,29.25531914893617,5
apc,220901.0,14.0,59.0,-2.336600378631306,0.0,0.0,5
apc,220901.0,14.0,60.0,0.3977705553000464,0.6491228070175439,64.91228070175438,5
apc,220901.0,14.0,61.0,0.6127958555142704,1.0,100.0,5
