x,y,date,hitting,well,type
313.3,245.70000000000002,220901,230,4,apc
374.40000000000003,101.4,220901,190,9,apc
270.40000000000003,270.40000000000003,220901,130,14,apc
245.05,239.85,220901,110,14,apc
246.35,383.5,220901,190,18,apc
250.25,357.5,220901,150,17,apc
231.4,302.90000000000003,220901,100,17,apc
305.5,343.85,220901,160,17,apc
328.25,347.75,220901,90,20,apc
188.85750000000002,100.9775,220719,220,16,apc
151.45000000000002,325.0,220901,90,35,wt
218.4,352.3,220901,160,35,wt
94.25,328.90000000000003,220901,170,46,wt
128.05,344.5,220901,80,46,wt
167.70000000000002,364.0,220901,170,46,wt
136.5,386.1,220901,170,46,wt
227.5,276.90000000000003,220901,260,49,wt
229.45000000000002,336.7,220901,200,53,wt
136.5,292.5,220901,100,53,wt
89.99250000000002,92.95,220719,90,22,wt
258.05,332.8,221124,210,26,wt
106.60000000000001,402.35,221124,160,29,wt
